scheme_id,known_feasible,capability_score,price_wan,stroke_mm,rated_thrust_n,peak_thrust_n,speed_mm_s,accuracy_mm,response_time_ms,temp_low_c,temp_high_c,duty_cycle_pct,mass_kg,salt_spray_h,protection_grade,manual_emergency,self_lock,position_feedback,overload_protection,self_diagnosis
VIRTUAL-0012,1,48.3774,15.3245,120.5867,11920.8454,18544.088,27.4654,0.34277,242.6837,-55.259,73.5724,75.9527,12.5355,0.0,55.0,0,1,1,1,1
VIRTUAL-0013,1,54.3343,17.4813,142.5821,17607.249,25827.7233,17.3667,0.58867,295.2456,-18.9071,75.5042,98.4889,15.6931,72.0,55.0,1,1,1,1,1
VIRTUAL-0014,1,34.7189,14.3592,169.4285,12071.669,17687.5247,59.63,0.85776,209.3613,-30.3841,99.8105,20.6459,14.142,96.0,55.0,0,1,0,1,0
VIRTUAL-0015,1,52.6784,14.3383,137.325,6871.3079,11263.5731,85.9994,0.10465,122.0126,-51.2822,66.5471,65.6805,9.3557,0.0,54.0,1,1,1,1,0
VIRTUAL-0016,1,47.3364,14.7834,101.3599,10679.3834,16574.9706,47.6852,0.89272,213.0931,-35.1894,75.2199,87.2192,12.9056,24.0,54.0,1,1,1,1,1
VIRTUAL-0017,1,47.258,14.5806,103.4184,10704.7675,15471.8428,50.2479,0.13686,184.1014,-24.9239,71.7505,20.1414,12.1773,0.0,54.0,1,1,1,1,1
VIRTUAL-0018,1,39.1139,11.7418,101.9572,11132.2694,17649.9302,6.0335,0.69706,301.7479,-57.6592,80.5059,20.5229,13.9079,0.0,54.0,1,1,1,1,0
VIRTUAL-0019,1,31.7531,12.414,189.6947,8127.6795,11521.6215,5.5706,0.89295,340,-43.1098,67.7321,44.1905,12.4276,48.0,55.0,1,1,1,1,0
VIRTUAL-0020,1,33.5371,14.0298,62.9131,4844.9317,6960.6243,56.5838,0.29662,189.9044,-40.5441,60.7815,47.3473,10.23,216.0,65.0,1,0,1,1,1
VIRTUAL-0021,1,43.9419,12.7604,88.5982,14069.333,22453.5412,12.7297,0.63569,298.1532,-37.7554,60.3896,48.7891,10.5114,0.0,55.0,0,1,1,1,1
VIRTUAL-0022,1,48.6047,15.6616,218.0345,14977.2064,23122.5689,25.4569,0.65672,275.152,-15.8328,77.7317,84.531,15.1371,48.0,55.0,1,1,1,1,1
VIRTUAL-0023,1,39.386,11.8106,96.6326,4133.4266,6000,66.6296,0.67818,174.9528,-47.9935,99.9784,37.5109,8.1763,48.0,55.0,1,0,1,1,0
VIRTUAL-0024,0,48.1894,18.1536,122.1403,16294.8983,24789.1783,82.4112,0.05506,114.1658,-47.8306,97.1306,57.23,16.5798,120.0,55.0,0,0,1,0,0
VIRTUAL-0025,1,30.9096,14.9362,115.5793,5357.7991,8249.4983,60.1678,0.87639,221.4085,-17.5235,81.7109,75.2881,8.7847,96.0,65.0,1,1,0,1,1
VIRTUAL-0026,1,31.6077,10.3034,119.6006,5731.5624,8558.9203,63.4502,0.83573,207.4026,-42.8956,55.4897,22.4705,9.7481,0.0,55.0,0,1,1,1,0
VIRTUAL-0027,1,47.5465,15.1075,166.2165,7699.109,11653.3319,37.89,0.68725,237.7836,-32.0014,87.5231,64.8358,13.2829,216.0,68.0,0,1,0,1,0
VIRTUAL-0028,1,41.9213,12.754,75.2239,12851.9731,18256.2498,35.9533,0.88015,252.6777,-58.9203,61.9128,31.9972,10.9779,0.0,54.0,0,1,1,1,0
VIRTUAL-0029,1,55.3027,18.913,177.6731,15974.004,24134.6704,41.3289,0.95822,222.5304,-39.0776,88.5497,86.9176,17.9078,48.0,55.0,1,1,1,1,1
VIRTUAL-0030,1,67.0935,21.1349,128.3278,17895.8365,27462.0125,74.5397,0.70557,167.1699,-18.7511,94.3018,28.5706,16.7367,240.0,67.0,0,1,1,1,0
VIRTUAL-0031,1,48.1678,15.2952,160.6897,14968.9387,23496.241,16.2084,0.71864,273.1551,-26.0425,96.866,31.4395,15.1994,0.0,55.0,0,1,1,1,1
VIRTUAL-0032,1,30.7974,13.4287,151.5779,12373.3665,17293.8223,8.614,0.9812,324.793,-33.9914,70.722,49.4104,12.757,0.0,55.0,0,1,1,1,0
VIRTUAL-0033,1,38.3823,13.2095,136.6011,6187.4697,9408.4851,80.2005,0.79307,127.6109,-31.8662,72.8048,30.7084,7.919,0.0,54.0,0,1,1,1,1
VIRTUAL-0034,1,29.1655,10.1653,168.6977,7068.8671,10593.7407,22.0868,0.92642,257.8081,-30.9311,76.4878,32.8979,8.9669,72.0,55.0,0,0,1,1,0
VIRTUAL-0035,1,48.8799,13.7679,112.1287,11726.3435,18315.5948,18.9493,0.54985,268.438,-42.8109,80.3258,74.5909,11.0004,0.0,54.0,1,1,1,1,1
VIRTUAL-0036,1,47.6593,16.5656,90.4522,11491.1565,16908.8739,62.0931,0.25909,156.446,-57.4228,91.9965,31.1091,13.8194,96.0,55.0,1,1,1,1,1
VIRTUAL-0037,1,63.1208,19.9069,141.6223,17119.7412,26974.918,40.8142,0.53132,239.3911,-36.1818,55.5332,98.3489,16.1812,216.0,67.0,0,0,1,1,1
VIRTUAL-0038,1,58.251,18.6268,56.6351,10263.5944,17567.2302,87.4199,0.06428,66.1096,-20.0312,95.0237,61.2672,13.6527,216.0,65.0,0,1,1,1,1
VIRTUAL-0039,1,48.9217,14.6793,162.7609,13036.46,19985.2814,17.5784,0.4153,286.8808,-44.7426,60.7205,98.0706,12.1027,48.0,55.0,0,0,1,1,1
VIRTUAL-0040,1,44.5104,16.2305,94.4562,14458.4168,23862.3419,79.6597,0.69234,148.2055,-57.8366,83.3608,35.5522,14.5407,24.0,55.0,1,0,1,0,1
VIRTUAL-0041,1,38.6252,13.8342,201.2175,7745.8386,11618.7541,87.8717,0.20383,110.0032,-26.0935,95.4825,29.5637,10.7665,96.0,55.0,0,1,1,1,0
VIRTUAL-0042,1,57.7849,17.6819,164.4652,15732.5526,23894.6709,45.1259,0.21162,231.9141,-34.8607,97.0329,57.2862,15.525,0.0,54.0,1,0,1,1,1
VIRTUAL-0043,1,47.1339,18.9212,210.6775,12499.0011,18532.5532,59.4554,0.86543,183.3619,-52.5272,68.7993,76.1396,15.2939,216.0,65.0,0,1,1,1,1
VIRTUAL-0044,1,57.3683,18.3648,175.7736,17993.8214,26433.5592,83.0737,0.4523,126.4064,-49.492,77.7492,70.0812,19.2967,168.0,65.0,0,1,1,1,0
VIRTUAL-0045,1,38.4098,17.9992,72.4793,10394.2674,13782.1478,89.6154,0.53727,106.3877,-53.6059,67.1304,61.8077,10.9954,120.0,65.0,1,1,1,1,0
VIRTUAL-0046,1,51.7432,16.0502,53.7412,15583.967,22494.37,46.9576,0.92232,228.2913,-38.8601,71.5184,92.9832,11.5309,0.0,54.0,1,1,1,1,0
VIRTUAL-0047,1,43.9249,14.8946,183.5751,12019.7231,17884.4663,54.4273,0.73439,198.8341,-57.9003,66.4227,32.2381,13.7401,72.0,55.0,0,0,1,0,1
VIRTUAL-0048,1,43.2163,18.0891,171.252,11655.3358,18279.4794,6.6547,0.20445,285.6604,-52.6563,76.5454,95.6858,16.2411,216.0,66.0,1,0,1,0,1
VIRTUAL-0049,1,24.5676,13.3411,215.1521,6808.3052,12358.4168,29.5493,0.76163,288.5374,-26.3283,65.2535,72.5343,11.7825,168.0,65.0,0,0,1,1,0
VIRTUAL-0050,1,50.4633,17.2064,143.3697,15988.253,26418.9946,26.2617,0.53262,282.8819,-30.1755,93.9708,48.5722,16.3659,0.0,54.0,1,1,1,1,1
VIRTUAL-0051,1,54.4989,18.7387,215.3709,16819.3795,25641.6761,26.0066,0.2536,224.6385,-52.9906,90.8987,99.1342,18.3749,120.0,65.0,1,1,1,1,0
VIRTUAL-0052,1,32.628,9.6873,94.1973,4743.8832,6534.275,68.4286,0.43164,143.1287,-22.533,55.1467,23.5345,7.6809,0.0,54.0,0,1,1,0,0
VIRTUAL-0053,1,38.8382,11.7042,129.1206,9972.8238,15153.9238,15.2906,0.18045,299.7591,-20.5895,82.5135,37.5046,11.171,0.0,54.0,1,1,1,1,0
VIRTUAL-0054,1,47.7121,17.2966,156.8993,13494.74,19576.3562,48.1062,0.15384,210.3697,-18.8444,84.9719,41.1766,15.7065,168.0,65.0,1,0,1,1,1
VIRTUAL-0055,1,43.4216,13.807,197.3933,10218.9032,15176.7889,36.0703,0.99209,258.809,-54.7482,76.7191,35.2807,13.3561,48.0,55.0,1,1,1,1,1
VIRTUAL-0056,1,46.4656,13.8819,94.8954,6888.0246,11714.6688,83.9655,0.6969,156.3079,-37.6106,73.4378,89.7154,9.8117,0.0,54.0,1,1,1,1,0
VIRTUAL-0057,1,22.0526,10.5654,88.3915,4900.6361,6708.3322,11.1113,0.92893,307.4925,-39.6158,87.5241,98.3283,4.5,0.0,54.0,0,0,1,1,1
VIRTUAL-0058,1,48.7412,21.0173,121.9098,17727.0288,26878.7157,60.5142,0.74112,184.1849,-42.3075,58.8291,48.248,16.6337,216.0,65.0,0,1,1,1,1
VIRTUAL-0059,0,48.6092,17.1408,122.4571,12020.1447,20390.5696,49.0839,0.15221,213.8611,-49.481,80.5807,61.485,15.7838,216.0,65.0,0,0,1,1,0
VIRTUAL-0060,1,67.1174,19.4813,98.2367,15727.6767,24302.2871,80.8713,0.15711,116.3523,-40.694,73.2506,94.0306,11.6234,72.0,55.0,0,0,1,1,1
VIRTUAL-0061,1,43.1608,16.7717,51.7189,16865.2507,25816.6454,37.8603,0.82008,271.902,-20.0067,94.5833,60.7639,14.6445,120.0,55.0,0,1,1,1,1
VIRTUAL-0062,1,39.02,14.0372,94.6515,5101.8549,7868.837,33.0141,0.06213,192.1465,-32.4352,68.0721,92.334,8.4726,168.0,65.0,1,1,1,1,0
VIRTUAL-0063,1,46.9452,13.2395,74.9023,11063.3327,16826.1096,71.397,0.25358,153.1347,-10.7668,57.4152,37.8266,10.2346,48.0,55.0,1,0,1,1,0
VIRTUAL-0064,1,58.393,17.5117,53.8227,17041.977,25797.2373,83.1647,0.95843,160.0901,-48.0442,68.224,84.341,13.3108,24.0,55.0,0,0,1,1,0
VIRTUAL-0065,0,60.3931,20.0896,124.9279,12913.5264,19174.4284,88.9192,0.5127,80.1403,-59.9496,86.4044,88.3142,15.7835,168.0,65.0,0,1,1,1,1
VIRTUAL-0066,0,41.59,18.1869,71.8574,17511.0964,27136.7832,41.5177,0.99707,252.9891,-45.2598,67.7659,45.469,15.6787,96.0,55.0,1,1,1,1,1
VIRTUAL-0067,1,55.0345,20.7123,62.8001,16033.4037,23907.0724,61.8791,0.24836,162.2628,-41.5326,65.7083,54.876,15.0201,216.0,68.0,1,0,1,0,0
VIRTUAL-0068,1,47.0302,12.3112,121.6983,5741.765,7856.6176,49.5542,0.05747,182.8538,-28.0812,88.4024,96.382,9.7536,0.0,54.0,0,0,1,1,1
VIRTUAL-0069,0,13.7516,13.5691,129.2966,4447.5453,6000,36.1165,0.88703,261.4795,-37.683,98.2821,28.6925,11.1398,168.0,65.0,1,0,1,1,1
VIRTUAL-0070,0,27.6694,18.6082,123.571,17314.6416,26770.8974,19.8059,0.89638,263.0104,-18.6264,95.127,62.7455,14.8183,96.0,65.0,0,1,0,1,1
VIRTUAL-0071,1,48.4678,14.9197,110.5414,11374.2304,17619.3664,49.3364,0.48872,230.9964,-27.3872,58.4055,89.4869,9.299,24.0,54.0,0,0,1,1,1
VIRTUAL-0072,1,43.1385,13.8302,157.0877,15843.9177,23023.4795,6.4401,0.60172,329.5661,-36.8441,80.2344,28.124,14.8867,24.0,55.0,0,0,1,1,1
VIRTUAL-0073,1,36.1661,16.6405,211.2577,11142.2241,16510.4141,43.5775,0.63482,219.3303,-56.4657,71.4848,27.4177,16.0304,216.0,65.0,0,0,1,1,1
VIRTUAL-0074,1,48.2574,19.6017,196.621,10517.1607,16952.5539,73.8325,0.05053,131.3446,-25.4936,81.3624,64.8976,12.9631,168.0,65.0,0,1,1,1,1
VIRTUAL-0075,0,36.7414,15.4351,161.1651,9804.2988,14103.1858,31.9365,0.81638,264.4428,-46.3719,92.1007,73.7131,14.3853,120.0,65.0,1,1,1,1,1
VIRTUAL-0076,1,46.6523,17.2038,194.7166,15785.4028,22706.897,44.169,0.10737,226.1687,-50.2944,82.2811,42.0184,18.1435,96.0,55.0,1,0,1,1,1
VIRTUAL-0077,1,39.5588,15.6623,94.3659,7187.111,10306.1451,74.7235,0.80709,169.5437,-53.7728,94.2418,24.868,11.6872,216.0,65.0,0,1,1,1,0
VIRTUAL-0078,0,43.3275,18.0463,216.5585,10198.0068,16086.7904,57.7126,0.3456,204.6984,-33.1968,89.6577,26.586,14.0577,168.0,65.0,0,1,1,1,0
VIRTUAL-0079,1,32.8085,14.2513,116.8832,7298.976,11597.8096,45.0301,0.33594,242.697,-30.3356,82.4249,49.7481,12.3858,168.0,65.0,0,1,0,1,0
VIRTUAL-0080,1,56.3415,14.1833,211.416,6979.5436,9545.2529,84.8012,0.07072,92.8909,-55.511,97.5064,71.254,11.2396,0.0,55.0,0,0,1,1,1
VIRTUAL-0081,1,41.3282,15.3182,190.1955,10664.6903,17285.4437,82.8463,0.98442,110.5039,-13.7279,94.452,72.1301,14.251,96.0,65.0,0,0,1,1,1
VIRTUAL-0082,1,38.2294,12.578,188.9167,14287.8482,22101.2586,9.8461,0.91392,337.8352,-37.2353,88.1835,50.9758,15.2227,0.0,54.0,0,0,0,1,0
VIRTUAL-0083,1,39.1353,16.2497,101.077,16707.9024,24398.4864,60.2538,0.34294,188.5989,-20.0567,61.7224,81.0243,13.2838,96.0,55.0,0,0,1,1,0
VIRTUAL-0084,1,49.6311,13.2117,134.8753,6461.4144,10644.9823,53.8341,0.14825,162.0395,-54.3211,86.7208,58.8484,9.6477,0.0,55.0,0,1,1,1,1
VIRTUAL-0085,1,27.1417,11.7948,86.4828,6288.4598,8470.0381,70.0441,0.1677,162.0914,-14.1773,62.5162,29.6681,9.0415,24.0,55.0,1,0,0,1,1
VIRTUAL-0086,1,46.141,15.0529,69.3706,7819.807,12461.0376,71.5675,0.82489,150.5542,-25.7161,64.9318,48.1673,13.9599,216.0,68.0,1,0,0,1,1
VIRTUAL-0087,1,19.3826,12.9106,104.316,4406.6689,6407.616,13.3932,0.9462,279.7657,-22.5817,98.2577,63.8209,9.042,96.0,65.0,0,1,1,1,1
VIRTUAL-0088,0,37.0505,17.8824,147.6685,13919.5104,21958.0509,44.5518,0.18825,204.597,-52.8918,86.809,39.1456,16.6239,120.0,65.0,1,1,1,0,0
VIRTUAL-0089,1,59.0655,16.4351,104.9643,12649.5859,19207.9201,20.7991,0.07271,280.8075,-50.3637,75.7413,25.5492,12.2145,72.0,65.0,1,1,1,1,1
VIRTUAL-0090,1,54.5063,15.4603,109.567,17605.199,26100.7407,60.8384,0.93847,190.5701,-46.2615,83.7358,34.3637,15.8357,24.0,55.0,0,1,1,1,0
VIRTUAL-0091,1,28.4502,10.3912,138.5225,7096.6222,11001.8767,17.4772,0.9968,284.5484,-41.0342,68.9275,32.3986,10.8796,48.0,55.0,0,1,1,1,1
VIRTUAL-0092,1,51.147,13.8651,100.731,12045.8366,19821.4604,57.3175,0.83087,150.863,-30.8379,84.0071,56.4611,12.2846,48.0,54.0,0,0,1,1,1
VIRTUAL-0093,1,52.4522,17.7277,119.8706,17382.1076,25446.4688,82.7947,0.30474,127.5225,-33.9495,74.0352,32.7015,14.9154,96.0,55.0,0,1,1,1,0
VIRTUAL-0094,1,60.9833,18.7618,200.4566,16713.9838,25917.2695,89.0134,0.3123,111.0379,-49.9531,66.1002,46.3045,16.4841,24.0,54.0,0,0,1,1,0
VIRTUAL-0095,1,35.7411,12.2062,197.885,7906.8903,12201.194,21.2935,0.35248,293.2305,-34.6949,58.9516,31.8276,11.2456,72.0,55.0,1,1,1,1,1
VIRTUAL-0096,1,48.4357,14.3078,125.1773,15566.9024,22950.6841,5.1315,0.09091,271.4633,-53.7329,80.2137,24.8588,16.9054,48.0,55.0,0,0,1,1,0
VIRTUAL-0097,1,22.7293,11.3533,71.3662,7343.0741,9910.8026,10.1051,0.26921,281.4474,-36.3614,57.868,61.7122,7.3631,24.0,55.0,0,1,1,1,1
VIRTUAL-0098,1,49.1545,17.2584,188.2366,17233.7526,25352.6434,13.058,0.52604,282.5284,-39.3854,83.6655,58.5849,17.2852,24.0,55.0,0,1,1,1,1
VIRTUAL-0099,1,55.9701,16.1712,148.704,17051.1019,27008.191,14.7261,0.28325,278.875,-42.8861,85.7254,63.8387,13.3888,24.0,55.0,0,1,1,1,1
VIRTUAL-0100,1,30.8962,12.8592,60.9839,8993.6602,13435.598,10.1773,0.36719,274.8661,-56.3522,88.5513,27.3304,11.0176,120.0,65.0,1,0,1,0,0
VIRTUAL-0101,1,63.9037,18.6107,120.7493,11761.3725,17757.9353,74.2579,0.16815,134.5665,-11.56,87.3062,35.2447,12.0191,240.0,68.0,1,1,1,1,1
VIRTUAL-0102,1,47.4247,19.8404,192.276,12380.3543,18686.2593,53.4675,0.69583,178.7147,-57.0507,80.9618,91.7153,15.1691,168.0,65.0,0,1,0,1,1
VIRTUAL-0103,1,43.9483,17.6658,166.6751,15824.699,23545.844,12.8368,0.43381,274.1402,-27.3111,93.7671,41.7909,17.6633,120.0,65.0,1,1,1,1,1
VIRTUAL-0104,0,25.5142,11.8391,168.0636,7094.8195,13759.1394,33.8913,0.98749,262.9106,-23.1179,82.1378,64.8312,10.3376,96.0,55.0,0,1,0,1,1
VIRTUAL-0105,1,23.8297,14.2237,58.4585,8048.5854,13219.4875,37.561,0.9474,241.9996,-42.4869,66.5462,44.1341,11.4065,96.0,55.0,0,1,0,1,1
VIRTUAL-0106,1,16.8351,14.1769,203.2545,8572.9142,11577.7777,26.0375,0.98926,268.1681,-10.597,57.9583,56.6537,12.5995,120.0,65.0,0,0,1,1,1
VIRTUAL-0107,1,32.0815,14.49,103.319,4013.8401,6167.7574,64.9948,0.74681,186.2377,-45.4122,73.4753,79.1275,9.9737,216.0,65.0,0,1,0,1,1
VIRTUAL-0108,1,46.5027,13.9212,156.8062,7592.396,11493.7175,74.3565,0.74186,141.0343,-33.9441,88.9059,62.5089,9.5724,48.0,55.0,0,1,1,1,1
VIRTUAL-0109,1,52.4333,15.109,121.025,13018.2391,19922.2459,17.4851,0.29539,240.5879,-40.4736,67.516,71.229,14.8585,72.0,55.0,0,1,1,1,0
VIRTUAL-0110,0,24.1256,15.9149,70.5605,6568.7155,8732.8995,68.0695,0.88781,182.4647,-40.6377,75.6571,67.6529,9.697,120.0,55.0,1,1,1,1,1
VIRTUAL-0111,1,70.9955,21.3672,140.4193,17839.9781,28239.8108,39.169,0.29389,238.0371,-28.6345,81.867,64.8535,18.1939,240.0,67.0,1,1,1,1,1
VIRTUAL-0112,1,29.9724,16.3242,189.741,17125.6828,27435.2604,5.5263,0.44606,299.2074,-44.6062,60.7197,70.2736,18.8438,120.0,65.0,0,1,0,1,1
VIRTUAL-0113,1,47.276,21.0569,193.6303,11758.8905,18186.8423,54.6736,0.12659,190.4114,-36.2588,64.5134,62.8357,13.2095,240.0,66.0,0,1,1,1,1
VIRTUAL-0114,1,62.1228,18.4242,179.8618,17380.3291,27134.4992,61.3734,0.18054,167.7829,-48.1436,91.0975,21.3177,18.2729,72.0,55.0,0,0,1,1,0
VIRTUAL-0115,1,46.1829,15.405,213.4182,13055.9395,20512.4062,43.3316,0.59586,215.5237,-43.3775,57.2741,67.6726,14.6653,24.0,55.0,0,0,1,1,0
VIRTUAL-0116,1,75.5646,21.0636,168.9001,16735.549,23973.7813,86.3395,0.0992,75.6798,-32.4334,97.143,77.4663,16.1307,48.0,55.0,0,0,1,1,1
VIRTUAL-0117,1,51.8607,16.2626,93.5007,15859.6832,24957.032,72.0671,0.12951,125.8555,-26.7847,67.7604,61.2337,13.6527,96.0,55.0,0,0,1,1,1
VIRTUAL-0118,0,38.5435,13.1275,70.0445,6162.9485,7450.8831,67.8982,0.09298,166.7812,-44.454,95.5791,36.3338,8.8883,0.0,55.0,0,0,1,1,1
VIRTUAL-0119,1,36.5532,10.0063,157.7636,4450.2683,7363.6913,39.3145,0.30149,198.3873,-12.7294,95.9548,21.7993,7.6922,24.0,55.0,0,1,1,0,0
VIRTUAL-0120,1,33.2188,19.2301,182.9314,15687.902,25007.3285,60.4966,0.38537,182.2469,-34.9835,85.6313,67.0708,17.859,120.0,65.0,0,0,0,1,0
VIRTUAL-0121,1,44.6822,17.3912,64.7764,17411.3174,27058.7147,34.2683,0.82299,275.5899,-44.8831,97.873,23.3627,16.5859,96.0,55.0,1,1,1,1,1
VIRTUAL-0122,1,41.6976,10.2239,94.8596,4239.6609,6000,53.2068,0.1388,191.113,-27.4875,90.61,61.1471,9.8042,72.0,55.0,0,0,0,1,0
VIRTUAL-0123,1,51.4238,17.1535,195.3715,9084.5044,14800.3213,83.7307,0.67558,103.2354,-50.0936,92.6863,48.4997,14.9535,216.0,65.0,1,1,1,1,0
VIRTUAL-0124,1,42.9112,16.1405,187.9908,11204.9533,16864.9206,54.2382,0.77841,191.4251,-36.5182,94.1816,66.0075,16.3086,240.0,65.0,0,1,1,1,0
VIRTUAL-0125,0,25.6082,16.4879,203.4147,14304.5249,21805.7992,39.145,0.52037,193.4199,-15.4062,62.9001,77.4446,15.968,120.0,55.0,1,1,1,0,0
VIRTUAL-0126,0,37.0166,18.6207,86.0658,16182.6204,25888.1424,73.8658,0.83608,177.0471,-51.4507,57.0207,70.471,15.1943,120.0,55.0,1,1,1,0,1
VIRTUAL-0127,1,31.0301,12.954,120.1962,4135.0346,6000,55.6448,0.75589,193.3728,-42.736,73.9197,82.8964,9.5037,168.0,55.0,1,1,1,1,1
VIRTUAL-0128,1,30.9004,10.1351,179.3458,6112.2696,8569.4789,8.8504,0.76377,290.7834,-48.5944,88.3607,63.8884,10.4358,48.0,55.0,0,0,1,1,0
VIRTUAL-0129,1,59.1168,16.5661,86.2986,16917.3788,27071.1715,20.3084,0.28217,307.0249,-54.2308,71.9947,49.4601,16.269,72.0,55.0,1,1,1,1,0
VIRTUAL-0130,1,28.8578,11.3419,143.5231,7430.6395,13067.1909,24.6355,0.26867,227.2036,-26.8337,80.0933,51.7394,10.0634,96.0,55.0,0,1,0,1,1
VIRTUAL-0131,1,62.5587,19.4229,123.3884,17504.8727,27546.8072,79.8517,0.55358,116.255,-19.2223,67.0921,87.6791,13.7304,48.0,55.0,0,1,1,1,1
VIRTUAL-0132,1,52.7842,14.2224,88.6229,11619.2215,17631.6664,72.3197,0.42356,100.0224,-23.8179,91.6071,28.6988,10.9687,72.0,55.0,0,0,1,1,1
VIRTUAL-0133,1,52.0163,18.0889,102.1889,12707.8275,18607.4342,33.026,0.93008,251.5906,-44.532,61.9954,84.4699,14.4445,240.0,67.0,0,1,1,1,1
VIRTUAL-0134,0,28.8392,12.1681,129.7454,5249.0358,6578.8815,47.9565,0.90556,200.2883,-33.2812,98.9446,41.314,9.797,48.0,55.0,1,1,1,1,1
VIRTUAL-0135,1,36.5813,13.1341,167.7179,7846.471,12419.4957,6.4529,0.36355,290.4065,-59.5615,94.3788,31.3754,12.4871,96.0,65.0,0,1,1,0,0
VIRTUAL-0136,1,53.4073,16.0635,65.3667,10768.7311,17730.8564,59.4303,0.13379,167.0662,-39.2103,57.6667,73.9004,10.8378,24.0,54.0,0,1,0,1,1
VIRTUAL-0137,1,40.7548,17.5601,149.9697,11023.0053,17476.3188,16.6797,0.9215,276.658,-57.3594,97.7233,93.6152,16.2118,168.0,65.0,0,1,1,1,1
VIRTUAL-0138,1,31.4616,13.4397,67.1481,7952.1393,13526.3356,26.7158,0.32577,260.754,-23.1056,70.2257,51.4823,11.1356,168.0,65.0,0,0,1,1,0
VIRTUAL-0139,1,15.5472,11.8125,103.7693,8158.0999,10728.5201,27.0052,0.87986,270.1702,-23.537,73.8289,25.1061,8.8638,24.0,55.0,0,1,1,1,0
VIRTUAL-0140,1,22.2461,9.9293,82.3444,7284.0542,12044.5439,26.525,0.99585,281.5374,-20.9234,58.904,26.3178,9.2241,48.0,55.0,0,0,1,0,0
VIRTUAL-0141,1,39.1028,14.2303,143.0212,9162.7549,13602.7706,72.7211,0.78161,143.1779,-28.9824,55.1525,34.862,10.8976,0.0,54.0,1,1,1,1,1
VIRTUAL-0142,1,44.6833,11.8132,153.23,5656.2352,9930.6684,81.1342,0.28797,149.2845,-39.438,75.0069,53.0154,8.195,0.0,54.0,0,1,1,0,1
VIRTUAL-0143,0,49.629,19.1285,149.195,15152.3918,20881.6237,52.8011,0.30986,229.1157,-39.0962,62.7398,92.7624,16.0545,240.0,66.0,1,0,1,1,0
VIRTUAL-0144,1,56.2534,16.4053,100.247,14485.04,20303.0151,79.2936,0.80898,151.7537,-41.773,77.0572,91.7479,15.0957,72.0,55.0,0,1,1,1,0
VIRTUAL-0145,1,31.3322,13.9365,205.3745,13244.3663,20156.2862,5.9608,0.79501,286.1149,-13.0841,96.6342,59.2775,13.5537,96.0,55.0,1,0,1,1,1
VIRTUAL-0146,1,40.9602,11.485,113.8466,8556.8496,14144.1231,30.9371,0.15819,258.17,-12.9708,80.4651,70.9678,10.7193,0.0,55.0,0,0,1,1,0
VIRTUAL-0147,1,15.0554,11.2558,84.5795,4993.4615,6548.3028,16.1172,0.97759,316.1495,-25.6114,93.295,60.8165,9.2757,0.0,55.0,1,1,1,1,1
